floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
9,19,3,146.0,87900000,Даниловский, Эдуарда Стрельцова,2к2,Крестьянская застава,317145425
30,65,3,120.0,139990000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315035572
20,20,3,137.0,143000000,Пресненский,Мантулинская ,9к6,Москва-Сити,316033726
3,7,3,110.0,176000000,Замоскворечье,Садовническая ,57С2,Новокузнецкая,317366956
5,7,3,160.0,183000000,Якиманка, Большая Полянка,44,Полянка,294031984
12,12,3,81.2,59900000,Сокол, Врубеля,4к1,Сокол,303902409
6,7,3,82.0,32000000,Даниловский,2-й Автозаводский проезд,5,Автозаводская,316201119
3,24,3,104.0,38399000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,309888239
36,37,3,109.0,45000000,Ростокино,проспект Мира,188Бк4,Ростокино,309673332
28,39,3,71.0,46500000,Раменки, Лобачевского,120к1,Аминьевская,303447463
21,36,3,86.5,48900000,Хорошево-Мневники,Шелепихинская набережная,34к1зд5,Шелепиха,312975296
12,12,3,81.2,59900000,Сокол, Врубеля,4к1,Сокол,298466120
14,28,1,38.0,20000000,Можайский,переулок 2-й Петра Алексеева,5,Рабочий посёлок,315353756
5,9,1,33.0,10150000,Северное Тушино,Туристская ,20К2,Планерная,307498870
6,20,1,36.2,23800000,Даниловский,проспект Лихачева,12к2,Технопарк,316106135
3,9,1,32.7,10200000,Чертаново Южное, Подольских Курсантов,18К1,Пражская,316125122
8,9,1,32.6,8000000,Ивановское, Сталеваров,8/22К1,Новогиреево,317159764
15,58,1,47.0,25500000,Ростокино, Сергея Эйзенштейна,8С9,Ботанический сад,314580697
35,35,1,42.0,23000000,Пресненский,Шмитовский проезд,39к8,Москва-Сити,312717273
17,18,1,38.4,12150000,Богородское,3-я Богатырская ,3,Белокаменная,317005420
6,12,1,41.1,25000000,Даниловский, Мустая Карима,12,Технопарк,317293154
6,6,1,24.9,5949999,Восточное Измайлово,Первомайская ,126,Первомайская,313037533
3,9,1,36.0,10200000,Гольяново,Щелковское шоссе,79К1,Щёлковская,316664953
2,23,1,42.9,16699000,Хорошево-Мневники,набережная Новикова-Прибоя,6Б,Народное Ополчение,317110008
5,5,1,52.8,16500000,Кунцево, Екатерины Будановой,12,Кунцевская,314951462
5,9,1,29.4,11550000,Филевский парк,Сеславинская ,32,Филёвский парк,314205722
8,9,1,34.8,8800000,Новогиреево,Полимерная ,5,Кусково,315139283
16,17,1,37.9,10999999,Чертаново Южное, Газопровод,15,Красный Строитель,315677385
4,12,1,35.0,13499000,Хорошевский,Чапаевский переулок,5К1,Аэропорт,317059684
8,12,1,47.0,11900000,Нагатино-Садовники,Коломенский проезд,14К2,Каширская,311745506
1,16,1,34.4,9790000,Северное Медведково, Грекова,3К3,Медведково,308047240
18,21,1,37.0,21900000,Хорошевский,9Ак7,9Ак7,Полежаевская,316315483
15,29,1,40.9,24250000,Хорошево-Мневники,Шелепихинская набережная,40к3,Шелепиха,316499611
5,5,1,32.4,15900000,Южнопортовый,Шарикоподшипниковская ,7К2,Дубровка,316999262
19,40,1,43.0,22700000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,298357160
6,22,1,40.3,20550000,Лефортово, Крузенштерна,2,Площадь Ильича,314200333
2,29,1,42.2,22900000,Лефортово, Крузенштерна,10к1,Авиамоторная,315608409
17,28,1,33.5,16000000,Лефортово, Крузенштерна,10к1,Авиамоторная,314543317
1,5,1,37.0,17900000,Пресненский,Стрельбищенский переулок,11,Москва-Сити,315912938
3,9,1,64.1,82000000,Тверской,1-я Тверская-Ямская ,2А,Маяковская,316418510
8,24,1,48.9,17900000,Чертаново Центральное,Чертановская ,43к3,Пражская,316292950
22,32,1,30.1,23990000,Пресненский,Шмитовский проезд,39к8,Москва-Сити,316707751
8,32,1,32.5,17500000,Бутырский, Добролюбова,8к3,Бутырская,314502912
9,43,1,43.5,27650000,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,316207341
5,23,1,45.2,33500000,Хорошево-Мневники, Нижние Мневники,16к1,Терехово ,317260021
7,58,1,38.0,22700000,Хорошево-Мневники, Народного Ополчения,15К2,Народное Ополчение,315913170
